company_name,company_name_normalized,source,url_found,url_normalized,domain_normalized,date_discovered,result_type,website_status,page_title,russia_relevant,tile_relevant,company_type,verification_status,verification_source,verification_date,data_confidence,verification_notes,business_email,email_status,email_source_url,business_phone,phone_status,phone_source_url,whatsapp,whatsapp_status,whatsapp_source_url,contact_person,contact_person_status,designation,decision_maker_source_url,linkedin,linkedin_status,vk,vk_status,telegram,telegram_status,social_source_url,contact_quality_score
Керамир (Ceramir),керамир керамическая плитка и керамогранит,Manual Trade Research | Supl.biz Directory; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит импортер Россия,https://ceramir.ru/,https://ceramir.ru,ceramir.ru,2026-08-16T20:39:45,COMPANY,ACTIVE,Керамир: керамическая плитка и керамогранит,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,info@ceramir.ru,FOUND,https://ceramir.ru/,+74952560646,FOUND,https://ceramir.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
эксклюзивный дистрибьютор KERAMA MARAZZI в РФ,эксклюзивный дистрибьютор kerama marazzi в рф,SerpApi | керамогранит дистрибьютор Россия,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,interstone.su,2026-08-16T20:49:21,UNKNOWN,ACTIVE,INTERSTONE - эксклюзивный дистрибьютор KERAMA MARAZZI в РФ | Interstone,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,info@interstone.su,FOUND,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,,NOT_FOUND,,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/share.php,FOUND,https://t.me/+79154417060,FOUND,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,MEDIUM
Global Tile,global tile керамическая плитка и керамогранит от,Manual Trade Research | MosBuild Exhibitor List; SerpApi | плитка импортер Москва,https://global-tile.ru/,https://global-tile.ru,global-tile.ru,2026-08-16T20:49:33,COMPANY,ACTIVE,Global Tile: керамическая плитка и керамогранит от производителя в Москве,YES,YES,COMPANY,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,info@global-tile.ru,FOUND,https://global-tile.ru/,+74955878000,FOUND,https://global-tile.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/global_tile,FOUND,https://t.me/global_tile_plitka,FOUND,https://global-tile.ru/,MEDIUM
Italon,керамика импорт напольная плитка из керамогранита,Manual Trade Research | MosBuild Exhibitor List; SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile wholesaler Moscow; SerpApi | плитка импортер Москва,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,https://italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329,italonceramica.ru,2026-08-16T20:49:33,COMPANY,ACTIVE,Верификация,YES,YES,COMPANY,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,,NOT_FOUND,,+73814516606,FOUND,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
Керамогранит оптом и в розницу по низкой цене с ...,керамогранит оптом и в розницу по низкой цене с,SerpApi | керамогранит оптом Москва; SerpApi | плитка оптовая компания Россия,http://ceramogranit-optom.ru/?srsltid=AfmBOorGTBLbxdUscNx4YlwuUHfJej8VO_VZ3sZeB8_L7VP2S8AVoO9q,https://ceramogranit-optom.ru,ceramogranit-optom.ru,2026-08-16T20:49:28,COMPANY,ACTIVE,Керамогранит оптом и в розницу по низкой цене с доставкой по РФ каталог на официальном сайте интернет-магазина Керамогранит Оптом,YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,sale@ceramogranit-optom.ru,FOUND,http://ceramogranit-optom.ru/?srsltid=AfmBOorGTBLbxdUscNx4YlwuUHfJej8VO_VZ3sZeB8_L7VP2S8AVoO9q,+74955405010,FOUND,http://ceramogranit-optom.ru/?srsltid=AfmBOorGTBLbxdUscNx4YlwuUHfJej8VO_VZ3sZeB8_L7VP2S8AVoO9q,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
Керамогранит.ру (Keramogranit.ru),керамогранит - купить в москве по цене производителя,Manual Trade Research | Supl.biz Directory; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия,https://www.keramogranit.ru/,https://keramogranit.ru,keramogranit.ru,2026-08-16T20:39:45,COMPANY,ACTIVE,Керамогранит - купить в Москве по цене производителя | Магазин плитки Керамогранит.ру,YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,manager@keramogranit.ru,FOUND,https://www.keramogranit.ru/,+74959663880,FOUND,https://www.keramogranit.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/keramogranit_ru,FOUND,https://t.me/Keramogranitr,FOUND,https://www.keramogranit.ru/,MEDIUM
Керамическая плитка и керамогранит оптом для дилеров,керамическая плитка и керамогранит оптом для дилеров,SerpApi | керамическая плитка оптом Санкт-Петербург; SerpApi | керамогранит оптом Москва,https://artcentre.club/dileram/,https://artcentre.club/dileram,artcentre.club,2026-08-16T20:49:39,COMPANY,ACTIVE,Керамическая плитка и керамогранит оптом для дилеров в Москве,YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,office@artcentre.club,FOUND,https://artcentre.club/contacts/,+70281090300,FOUND,https://artcentre.club/contacts/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/public211394021,FOUND,https://t.me/artcentre_club,FOUND,https://artcentre.club/dileram/,MEDIUM
Керамическая плитка оптом в Москве,керамическая плитка оптом в москве,SerpApi | плитка оптовая компания Россия,https://elmantrade.ru/kupit-optom/?srsltid=AfmBOooPBW6QlAGirOEISQcFkHAdyiA5Scy09bntxgaL9cWuswkIxXFF,https://elmantrade.ru/kupit-optom,elmantrade.ru,2026-08-16T20:49:28,UNKNOWN,ACTIVE,"Керамическая плитка оптом в Москве – купить в интернет-магазине Эльман-Трейд, каталог, фото, цена за м2",YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,office@elmantrade.ru,FOUND,https://elmantrade.ru/kupit-optom/?srsltid=AfmBOooPBW6QlAGirOEISQcFkHAdyiA5Scy09bntxgaL9cWuswkIxXFF,+74951034848,FOUND,https://elmantrade.ru/kupit-optom/?srsltid=AfmBOooPBW6QlAGirOEISQcFkHAdyiA5Scy09bntxgaL9cWuswkIxXFF,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
Керамогранит оптом - Керамическая плитка,керамическая плитка и керамогранит оптом,SerpApi | керамогранит импортер Россия; SerpApi | керамогранит оптом Москва,https://opt.mosplitka.ru/,https://opt.mosplitka.ru,opt.mosplitka.ru,2026-08-16T20:39:45,COMPANY,ACTIVE,Керамическая плитка и керамогранит оптом — МОСПЛИТКА-ОПТ,YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,opt@mosplitka.ru,FOUND,https://opt.mosplitka.ru/,+74951047080,FOUND,https://opt.mosplitka.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
Арткерамика (Artkeramika),купить керамическую плитку оптом в москве по низким ценам,Manual Trade Research | MosBuild Exhibitor List; SerpApi | керамогранит оптом Москва; SerpApi | плитка оптовая компания Россия,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka,artkeramika-opt.ru,2026-08-16T20:49:28,COMPANY,ACTIVE,Купить керамическую плитку оптом в Москве по низким ценам,YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,zakaz@artkeramika-opt.ru,FOUND,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,+74997033042,FOUND,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/artkeramika_opt,FOUND,,NOT_FOUND,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,MEDIUM
Best Tiles Manufacturer in Russia,best tiles manufacturer in russia,SerpApi | ceramic tile importer Russia; SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile importer Russia; SerpApi | tile distributor Russia,https://www.durezagranito.com/tiles-manufacturer-exporter-in-Russia/,https://durezagranito.com/tiles-manufacturer-exporter-in-russia,durezagranito.com,2026-08-16T20:49:58,COMPANY,ACTIVE,Best Tiles Manufacturer in Russia | Wall tiles | Floor tiles,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,info@durezagranito.com,FOUND,https://www.durezagranito.com/tiles-manufacturer-exporter-in-Russia/,,NOT_FOUND,,,NOT_FOUND,,,NOT_FOUND,,,https://www.linkedin.com/company/dureza-granito-pvt-ltd/,FOUND,,NOT_FOUND,,NOT_FOUND,https://www.durezagranito.com/tiles-manufacturer-exporter-in-Russia/,MEDIUM
Интернет-магазин керамогранита и керамической плитки в ...,интернет-магазин керамогранита и керамической плитки в,SerpApi | плитка импортер Москва,https://msk.estima.ru/,https://msk.estima.ru,msk.estima.ru,2026-08-16T20:49:33,COMPANY,ACTIVE,Интернет-магазин керамогранита и керамической плитки в Москве Estima,YES,YES,SHOWROOM,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,salon-msk@estima.ru,FOUND,https://msk.estima.ru/,+74991106004,FOUND,https://msk.estima.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://m.vk.com/estimaceramica,FOUND,https://t.me/estimasmr,FOUND,https://msk.estima.ru/,MEDIUM
"Плитка, камень оптом — купить по цене производителя",плитка камень оптом купить по цене производителя,SerpApi | плитка оптовая компания Россия,https://volmatech.ru/catalog/plitka_kamen/,https://volmatech.ru/catalog/plitka_kamen,volmatech.ru,2026-08-16T20:49:28,PRODUCT_PAGE,ACTIVE,"Плитка, камень оптом — купить по цене производителя | завод ВОЛМА",YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,shop@volma.ru,FOUND,https://volmatech.ru/catalog/plitka_kamen/,+78007000417,FOUND,https://volmatech.ru/catalog/plitka_kamen/,+7,FOUND,https://volmatech.ru/company/recvisiti.php,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/volmaru,FOUND,https://t.me/volma_ru,FOUND,https://volmatech.ru/catalog/plitka_kamen/,MEDIUM
Импорт керамической плитки в Российской Федерации,импорт керамической плитки в российской федерации,SerpApi | импортер плитки Россия,https://www.abok.ru/for_spec/articles.php?nid=1579,https://abok.ru/for_spec/articles.php,abok.ru,2026-08-16T20:49:46,UNKNOWN,ACTIVE,Импорт керамической плитки в Российской Федерации | АВОК,YES,YES,IMPORTER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,support@abok.ru,FOUND,https://www.abok.ru/for_spec/articles.php?nid=1579,,NOT_FOUND,,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,http://vk.com/abok_russia,FOUND,https://t.me/abok_np,FOUND,https://www.abok.ru/for_spec/articles.php?nid=1579,MEDIUM
Керамогранит купить в Санкт-Петербурге по выгодной ...,керамогранит купить в санкт-петербурге по выгодной,SerpApi | керамическая плитка оптом Санкт-Петербург,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,plitka-78.ru,2026-08-16T20:49:41,UNKNOWN,ACTIVE,Керамогранит купить в Санкт-Петербурге по выгодной цене оптом и в розницу,YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,stroikeramika@mail.ru,FOUND,https://plitka-78.ru/pages/maps.html,,NOT_FOUND,,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
Showrooms and dealers in Russia,showrooms and dealers in russia,SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile wholesaler Moscow; SerpApi | tile distributor Russia,https://www.marazzigroup.com/locality/russia-country/,https://marazzigroup.com/locality/russia-country,marazzigroup.com,2026-08-16T20:50:07,UNKNOWN,ACTIVE,Showrooms and dealers in Russia | Marazzi,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,,NOT_FOUND,,,NOT_FOUND,,,NOT_FOUND,,,NOT_FOUND,,,https://www.linkedin.com/company/marazzi-group/,FOUND,,NOT_FOUND,,NOT_FOUND,https://www.marazzigroup.com/locality/russia-country/,LOW
"официальный дистрибьютор ГК ""Уральский Гранит""!",официальный дистрибьютор гк уральский гранит,SerpApi | керамогранит дистрибьютор Россия,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit,fasadresurs.ru,2026-08-16T20:49:21,UNKNOWN,ACTIVE,"ГК ""Ресурс"" - официальный дистрибьютор ГК ""Уральский Гранит""!",YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,opt@dvresurs.ru,FOUND,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,+79098754662,FOUND,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,+79098754662,FOUND,https://fasadresurs.ru/contacts/#map,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,https://t.me/facad_resurs,FOUND,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,MEDIUM
Купить керамогранит в Москве и России. Оптом от ...,купить керамогранит в москве и россии оптом от,SerpApi | керамогранит оптом Москва,https://technotile.ru/,https://technotile.ru,technotile.ru,2026-08-16T20:49:39,COMPANY,ACTIVE,Купить керамогранит в Москве и России. Оптом от производителя по низким ценам.,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,opt@technotile.ru,FOUND,https://technotile.ru/,+74993504450,FOUND,https://technotile.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
Керамическая плитка и керамогранит оптом – купить в ...,керамическая плитка и керамогранит оптом купить в,SerpApi | керамическая плитка оптом Санкт-Петербург,https://spb.tesser.ru/content/dlya_optovikov/,https://spb.tesser.ru/content/dlya_optovikov,spb.tesser.ru,2026-08-16T20:49:41,UNKNOWN,ACTIVE,"Керамическая плитка и керамогранит оптом – купить в Санкт-Петербурге и области, низкая цена на керамогранит оптом, оптовый склад керамической плитки ТЕССЕР",YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,spb@tesser.ru,FOUND,https://spb.tesser.ru/content/dlya_optovikov/,+78124077008,FOUND,https://spb.tesser.ru/content/dlya_optovikov/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,керамогранит купить в москве оптом и в розницу,SerpApi | керамогранит оптом Москва,https://www.ceram-kioto.ru/catalog/keramogranit/,https://ceram-kioto.ru/catalog/keramogranit,ceram-kioto.ru,2026-08-16T20:49:39,PRODUCT_PAGE,ACTIVE,КЕРАМОГРАНИТ купить в Москве оптом и в розницу. Цены в каталоге плитки,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,ceram-kioto@mail.ru,FOUND,https://www.ceram-kioto.ru/catalog/keramogranit/,+74955893685,FOUND,https://www.ceram-kioto.ru/catalog/keramogranit/,+79672454514,FOUND,https://www.ceram-kioto.ru/contacts/,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/ceram_kioto,FOUND,,NOT_FOUND,https://www.ceram-kioto.ru/catalog/keramogranit/,MEDIUM
Контакт-М (Contact-M),плитка и керамогранит оптом с доставкой по москве и,Manual Trade Research | MosBuild Exhibitor List; SerpApi | дистрибьютор плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия,https://kontact-m.ru/wholesalers/,https://kontact-m.ru/wholesalers,kontact-m.ru,2026-08-16T20:49:25,COMPANY,ACTIVE,Керамическая плитка и керамогранит оптом со склада в Москве — поставщик плитки Контакт М!,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,koroleva@kontact-m.ru,FOUND,https://kontact-m.ru/wholesalers/,+79057797711,FOUND,https://kontact-m.ru/wholesalers/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
