company_name,source,url_found,date_discovered,result_type
Итальянская керамическая плитка оптом со склада в ...,SerpApi | керамическая плитка импортер Россия; SerpApi | керамическая плитка оптом Санкт-Петербург,https://www.tile-ceramica.ru/plitka_optom/,2026-08-16T20:49:16,COMPANY
Официальные дистрибьюторы,SerpApi | дистрибьютор плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит дистрибьютор Россия,https://unitile.ru/partners/official_distributors/,2026-08-16T20:49:21,UNKNOWN
КЕРАМОТЕКА. Собрание коллекций керамической плитки ...,SerpApi | дистрибьютор плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит дистрибьютор Россия,https://www.keramoteka.ru/,2026-08-16T20:49:21,COMPANY
"Все поставщики керамической плитки, кафеля оптом в ...",SerpApi | дистрибьютор плитки Россия; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | плитка оптовая компания Россия,https://supl.biz/keramicheskaya-plitka-kafel-supplierscategory9445/,2026-08-16T20:49:21,DIRECTORY
Оптовый поставщик плитки и керамогранита,SerpApi | дистрибьютор плитки Россия; SerpApi | керамогранит дистрибьютор Россия,https://lincer.ru/about/,2026-08-16T20:49:21,COMPANY
эксклюзивный дистрибьютор KERAMA MARAZZI в РФ,SerpApi | керамогранит дистрибьютор Россия,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,2026-08-16T20:49:21,UNKNOWN
"официальный дистрибьютор ГК ""Уральский Гранит""!",SerpApi | керамогранит дистрибьютор Россия,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,2026-08-16T20:49:21,UNKNOWN
Купить керамическую плитку в Москве от ведущих ...,SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | плитка импортер Москва,https://globusceramica.ru/,2026-08-16T20:49:25,COMPANY
Плитка и керамогранит оптом с доставкой по Москве и ...,SerpApi | дистрибьютор плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия,https://kontact-m.ru/wholesalers/,2026-08-16T20:49:25,COMPANY
Линкер: Керамическая плитка и керамогранит оптом и в ...,SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамическая плитка оптом Санкт-Петербург; SerpApi | плитка оптовая компания Россия,https://lincer.ru/,2026-08-16T20:49:25,COMPANY
Планета Плитки - купить керамическую плитку в салоне ...,SerpApi | керамическая плитка дистрибьютор Россия,https://planetaplitki.ru/,2026-08-16T20:49:25,COMPANY
Керамогранит оптом и в розницу по низкой цене с ...,SerpApi | плитка оптовая компания Россия,http://ceramogranit-optom.ru/?srsltid=AfmBOorGTBLbxdUscNx4YlwuUHfJej8VO_VZ3sZeB8_L7VP2S8AVoO9q,2026-08-16T20:49:28,COMPANY
Купить керамическую плитку оптом в Москве по низким ценам,SerpApi | керамогранит оптом Москва; SerpApi | плитка оптовая компания Россия,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,2026-08-16T20:49:28,PRODUCT_PAGE
"Плитка, камень оптом — купить по цене производителя",SerpApi | плитка оптовая компания Россия,https://volmatech.ru/catalog/plitka_kamen/,2026-08-16T20:49:28,PRODUCT_PAGE
Купить плитку оптом от производителя,SerpApi | плитка оптовая компания Россия,https://a-ceramica.ru/plitka/,2026-08-16T20:49:28,COMPANY
Керамическая плитка оптом в Москве,SerpApi | плитка оптовая компания Россия,https://elmantrade.ru/kupit-optom/?srsltid=AfmBOooPBW6QlAGirOEISQcFkHAdyiA5Scy09bntxgaL9cWuswkIxXFF,2026-08-16T20:49:28,UNKNOWN
Оптовая компания по продаже керамической плитки,SerpApi | плитка оптовая компания Россия,https://2gis.ru/spb/search/%D0%9E%D0%BF%D1%82%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B5%20%D0%BA%D0%B5%D1%80%D0%B0%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BF%D0%BB%D0%B8%D1%82%D0%BA%D0%B8,2026-08-16T20:49:28,DIRECTORY
Керамика Импорт | Напольная плитка из керамогранита,SerpApi | плитка импортер Москва,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,2026-08-16T20:49:33,UNKNOWN
"Плитка оптом в Москве на карте: ☎ телефоны, ★ отзывы",SerpApi | плитка импортер Москва,https://2gis.ru/moscow/search/%D0%9F%D0%BB%D0%B8%D1%82%D0%BA%D0%B0%20%D0%BE%D0%BF%D1%82%D0%BE%D0%BC/filters/subway%3D4504385655417925,2026-08-16T20:49:33,DIRECTORY
"Импорт Мосплитка, склад, керамическая плитка, Москва ...",SerpApi | плитка импортер Москва,https://yandex.ru/maps/org/import_mosplitka_sklad/138030565210/,2026-08-16T20:49:33,MAP
Global Tile: керамическая плитка и керамогранит от ...,SerpApi | плитка импортер Москва,https://global-tile.ru/,2026-08-16T20:49:33,COMPANY
Интернет-магазин керамогранита и керамической плитки в ...,SerpApi | плитка импортер Москва,https://msk.estima.ru/,2026-08-16T20:49:33,COMPANY
Керамогранит оптом и в розницу по низкой цене с ...,SerpApi | керамогранит оптом Москва,http://ceramogranit-optom.ru/?srsltid=AfmBOoqs2XzvaL8nFcbbJad-hKXIcrGXhScLYAPar6qZhJfQn6ZpC6Ba,2026-08-16T20:49:39,COMPANY
Керамическая плитка и керамогранит оптом ...,SerpApi | керамогранит оптом Москва,https://opt.mosplitka.ru/,2026-08-16T20:49:39,COMPANY
Купить керамогранит оптом в Москве ...,SerpApi | керамогранит оптом Москва,https://www.rusplitka.ru/content/fast-delivery/,2026-08-16T20:49:39,UNKNOWN
Купить керамогранит в Москве и России. Оптом от ...,SerpApi | керамогранит оптом Москва,https://technotile.ru/,2026-08-16T20:49:39,COMPANY
Керамическая плитка и керамогранит оптом для дилеров,SerpApi | керамогранит оптом Москва,https://artcentre.club/dileram/,2026-08-16T20:49:39,COMPANY
КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,SerpApi | керамогранит оптом Москва,https://www.ceram-kioto.ru/catalog/keramogranit/,2026-08-16T20:49:39,PRODUCT_PAGE
Керамогранит оптом - Санкт-Петербург,SerpApi | керамическая плитка оптом Санкт-Петербург,https://spb.saturn.net/catalog/keramogranit/tag-optom/,2026-08-16T20:49:41,PRODUCT_PAGE
Керамическая плитка и керамогранит оптом – купить в ...,SerpApi | керамическая плитка оптом Санкт-Петербург,https://spb.tesser.ru/content/dlya_optovikov/,2026-08-16T20:49:41,UNKNOWN
Керамическая плитка и керамогранит оптом для дилеров,SerpApi | керамическая плитка оптом Санкт-Петербург,https://spb.artcentre.club/dileram/,2026-08-16T20:49:41,COMPANY
Плитка оптом - Санкт-Петербург,SerpApi | керамическая плитка оптом Санкт-Петербург,https://2gis.ru/spb/search/%D0%9F%D0%BB%D0%B8%D1%82%D0%BA%D0%B0%20%D0%BE%D0%BF%D1%82%D0%BE%D0%BC/filters/subway%3D5348810536517690,2026-08-16T20:49:41,DIRECTORY
Керамогранит оптом от производителя купить в Санкт ...,SerpApi | керамическая плитка оптом Санкт-Петербург,https://www.c-s-g.ru/keramogranit/sankt-peterburg,2026-08-16T20:49:41,UNKNOWN
Купить плитку керамическую недорого в Санкт- ...,SerpApi | керамическая плитка оптом Санкт-Петербург,https://spb.mosplitka.ru/catalog/plitka/,2026-08-16T20:49:41,PRODUCT_PAGE
Керамогранит купить в Санкт-Петербурге по выгодной ...,SerpApi | керамическая плитка оптом Санкт-Петербург,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,2026-08-16T20:49:41,UNKNOWN
Импорт керамической плитки в Российской Федерации,SerpApi | импортер плитки Россия,https://www.abok.ru/for_spec/articles.php?nid=1579,2026-08-16T20:49:46,UNKNOWN
Laparet: керамическая плитка и керамогранит от ...,SerpApi | импортер плитки Россия,https://laparet.ru/,2026-08-16T20:49:46,COMPANY
Официальный дилер завода керамической плитки TUBADZIN,SerpApi | дистрибьютор плитки Россия; SerpApi | импортер плитки Россия,https://tubadzin.ru/,2026-08-16T20:49:46,COMPANY
Топ 10 российских компаний по производству ...,SerpApi | дистрибьютор плитки Россия,https://kirovstroysnab.ru/articles/reyting/top-10-rossiyskikh-kompaniy-po-proizvodstvu-keramogranita-v-2023/,2026-08-16T20:49:52,UNKNOWN
List of Buyers & Importers for Tile in Russia,SerpApi | ceramic tile importer Russia; SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile importer Russia; SerpApi | tile distributor Russia; SerpApi | tile importer Russia,https://www.trademo.com/russia/buyers/tile,2026-08-16T20:49:55,DIRECTORY
List of Top Russia Ceramic tiles Importers & Buyers Database,SerpApi | ceramic tile importer Russia; SerpApi | porcelain tile importer Russia; SerpApi | tile importer Russia,https://www.tradeimex.in/company/customs-data/russia-ceramic-tiles-importer,2026-08-16T20:49:55,DIRECTORY
List of Russia Importers for Porcelain And Ceramic Tiles,SerpApi | tile importer Russia,https://www.exportgenius.in/russia-importers-of-porcelain-and-ceramic-tiles,2026-08-16T20:49:55,DIRECTORY
"Top 75+ Best Tiles Shop, Dealer, Importer in St. Petersburg ...",SerpApi | ceramic tile importer Russia; SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile importer Russia; SerpApi | tile importer Russia,https://pvrmines.com/tiles-in-saint-petersburg/,2026-08-16T20:49:55,COMPANY
Trusted Tiles Exporter and Tiles Supplier in Russia â€“ ...,SerpApi | ceramic tile importer Russia; SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile importer Russia; SerpApi | porcelain tile wholesaler Moscow; SerpApi | tile distributor Russia; SerpApi | tile importer Russia,https://neoratiles.com/blog/trusted-tiles-exporter-and-tiles-supplier-in-russia-neora-tiles,2026-08-16T20:49:55,BLOG
Ceramic Tile Imports In Russia,SerpApi | ceramic tile importer Russia; SerpApi | porcelain tile importer Russia; SerpApi | tile importer Russia,https://www.zauba.com/export-ceramic+tile/fp-russia-hs-code.html,2026-08-16T20:49:55,DIRECTORY
Tile russia Importers in India | Trusted List of Shipment,SerpApi | tile importer Russia,https://www.seair.co.in/tile-russia-importers,2026-08-16T20:49:55,DIRECTORY
Top Porcelain-tile Importers in Russia,SerpApi | porcelain tile importer Russia; SerpApi | tile importer Russia,https://www.marketinsidedata.com/en/search-data/importer?type=import&country=russia&product=porcelain-tile,2026-08-16T20:49:55,DIRECTORY
All Importers Data | PDF | Flooring | Tile,SerpApi | tile importer Russia,https://www.scribd.com/document/548344333/All-Importers-Data-1,2026-08-16T20:49:55,DIRECTORY
List of Top 374 Glazed Ceramic Tiles Importers in Russia,SerpApi | ceramic tile importer Russia,https://www.exportgenius.in/russia-importers-of-glazed-ceramic-tiles,2026-08-16T20:49:58,DIRECTORY
Best Tiles Manufacturer in Russia,SerpApi | ceramic tile importer Russia; SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile importer Russia; SerpApi | tile distributor Russia,https://www.durezagranito.com/tiles-manufacturer-exporter-in-Russia/,2026-08-16T20:49:58,COMPANY
Ceramic tile russia Importers in India | Trusted List of ...,SerpApi | ceramic tile importer Russia,https://www.seair.co.in/ceramic-tile-russia-importers,2026-08-16T20:49:58,DIRECTORY
Top-Grade Ceramic and Porcelain Tile Solutions for Russia,SerpApi | ceramic tile importer Russia; SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile importer Russia; SerpApi | porcelain tile wholesaler Moscow,https://faceimpex.com/globally-presenting/top-grade-ceramic-and-porcelain-tile-solutions-for-russia/,2026-08-16T20:49:58,UNKNOWN
List of Top 323 Tile Ceramic Importers in Russia,SerpApi | porcelain tile importer Russia,https://www.exportgenius.in/russia-importers-of-tile-ceramic,2026-08-16T20:50:01,DIRECTORY
Showrooms and dealers in Russia,SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile wholesaler Moscow; SerpApi | tile distributor Russia,https://www.marazzigroup.com/locality/russia-country/,2026-08-16T20:50:07,UNKNOWN
The Unitile Group of Companies is the leading domestic ...,SerpApi | ceramic tile wholesaler Russia; SerpApi | tile distributor Russia,https://unitile.ru/en/,2026-08-16T20:50:07,COMPANY
Home,SerpApi | tile distributor Russia,http://investceramic.ru/home-en,2026-08-16T20:50:07,COMPANY
"Collab Opportunity for Tile Retailers, Builders & Architects ...",SerpApi | tile distributor Russia,https://www.ramirro.com/collaboration-opportunity-for-tile-retailers-builders-architects-in-russia-premium-porcelain-ceramic-tiles/,2026-08-16T20:50:07,COMPANY
Russia Ceramic Tiles Companies - Top Players' List,SerpApi | ceramic tile wholesaler Russia; SerpApi | tile distributor Russia,https://www.mordorintelligence.com/industry-reports/russia-ceramic-tiles-market/companies,2026-08-16T20:50:07,DIRECTORY
"Best Tiles Manufacturer, supplier and Exporter in Russia",SerpApi | tile distributor Russia,https://lexirasurfaces.com/best-tiles-manufacturer-and-exporter-in-russia/,2026-08-16T20:50:07,COMPANY
Wall Tiles Italon | Official Website,SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile wholesaler Moscow,https://www.italonceramica.ru/en/products/wall/,2026-08-16T20:50:14,PRODUCT_PAGE
"Top 185+ Best Ceramic Tiles Dealer In Moscow, Russia",SerpApi | porcelain tile wholesaler Moscow,https://pvrmines.com/ceramic-tiles-dealer-in-russia/,2026-08-16T20:50:16,COMPANY
MOSCOW,SerpApi | porcelain tile wholesaler Moscow,https://www.kourasanit.com/en/showrooms/moscow,2026-08-16T20:50:16,UNKNOWN
Brands,SerpApi | porcelain tile wholesaler Moscow,https://unitile.ru/en/about/production/,2026-08-16T20:50:16,PRODUCT_PAGE
Tile Oliva Ceramic Buy in Moscow,SerpApi | porcelain tile wholesaler Moscow,https://www.lineceramic.ru/en/hand-made-ceramic-tiles/oliva-tile-clone/?srsltid=AfmBOooO80_vfTsT8KPQsPiOB3u9M94DRgFp5ybKf1fVK0UY8PL-0zmH,2026-08-16T20:50:16,UNKNOWN
"Casati Ceramica, ceramic tile, Moscow, Ryabinovaya ...",SerpApi | porcelain tile wholesaler Moscow,https://yandex.com/maps/org/casati_ceramica/19048363309/,2026-08-16T20:50:16,MAP
Союз Керамика (Soyuz Ceramica),Manual Trade Research | MosBuild Exhibitor List,https://soyuzceramica.ru,2026-08-16T20:52:46,COMPANY
Линкер (Lincer),Manual Trade Research | MosBuild Exhibitor List,https://lincer.ru,2026-08-16T20:52:46,COMPANY
А-Керамика (A-Ceramica),Manual Trade Research | MosBuild Exhibitor List,https://a-ceramica.ru,2026-08-16T20:52:46,COMPANY
Арткерамика (Artkeramika),Manual Trade Research | MosBuild Exhibitor List,https://artkeramika-opt.ru,2026-08-16T20:52:46,COMPANY
ТЕССЕР (Tesser),Manual Trade Research | MosBuild Exhibitor List,https://tesser.ru,2026-08-16T20:52:46,COMPANY
Контакт-М (Contact-M),Manual Trade Research | MosBuild Exhibitor List,https://kontact-m.ru,2026-08-16T20:52:46,COMPANY
Мосплитка (Mosplitka),Manual Trade Research | MosBuild Exhibitor List,https://mosplitka.ru,2026-08-16T20:52:46,COMPANY
Керамотека (Keramoteka),Manual Trade Research | MosBuild Exhibitor List,https://keramoteka.ru,2026-08-16T20:52:46,COMPANY
Estima,Manual Trade Research | MosBuild Exhibitor List,https://estima.ru,2026-08-16T20:52:46,COMPANY
Kerranova (Samarskiy Stroyfarfor),Manual Trade Research | MosBuild Exhibitor List,https://kerranova.ru,2026-08-16T20:52:46,COMPANY
Laperet,Manual Trade Research | MosBuild Exhibitor List,https://laperet.ru,2026-08-16T20:52:46,COMPANY
Italon,Manual Trade Research | MosBuild Exhibitor List,https://italonceramica.ru,2026-08-16T20:52:46,COMPANY
Cersanit Russia,Manual Trade Research | MosBuild Exhibitor List,https://cersanit.ru,2026-08-16T20:52:46,COMPANY
Gracia Ceramica,Manual Trade Research | MosBuild Exhibitor List,https://graciaceramica.com,2026-08-16T20:52:46,COMPANY
Unitile,Manual Trade Research | MosBuild Exhibitor List,https://unitile.ru,2026-08-16T20:52:46,COMPANY
Creto,Manual Trade Research | MosBuild Exhibitor List,https://creto.ru,2026-08-16T20:52:46,COMPANY
Global Tile,Manual Trade Research | MosBuild Exhibitor List,https://global-tile.ru,2026-08-16T20:52:46,COMPANY
Уральский гранит (Ural Granit),Manual Trade Research | MosBuild Exhibitor List,https://uralgranit.ru,2026-08-16T20:52:46,COMPANY
Берёзастройматериалы (Beryoza Ceramica),Manual Trade Research | MosBuild Exhibitor List,https://bereza-ceramica.by,2026-08-16T20:52:46,COMPANY
Onetouch Ceramica,Manual Trade Research | MosBuild Exhibitor List,https://onetouchceramica.ru,2026-08-16T20:52:46,COMPANY
Nt Ceramic,Manual Trade Research | MosBuild Exhibitor List,https://ntceramic.ru,2026-08-16T20:52:46,COMPANY
Zerde Ceramics,Manual Trade Research | MosBuild Exhibitor List,https://zerdeceramics.kz,2026-08-16T20:52:46,COMPANY
Monalisa Tiles Russia,Manual Trade Research | MosBuild Exhibitor List,https://monalisatiles.ru,2026-08-16T20:52:46,COMPANY
Plitka-Podolsk,Manual Trade Research | Supl.biz Directory,https://plitka-podolsk.ru,2026-08-16T20:52:46,COMPANY
К-Импорт (K-Import),Manual Trade Research | Supl.biz Directory,https://www.k-import.ru,2026-08-16T20:52:46,COMPANY
Керамир (Ceramir),Manual Trade Research | Supl.biz Directory,https://ceramir.ru,2026-08-16T20:52:46,COMPANY
Керамогранит.ру (Keramogranit.ru),Manual Trade Research | Supl.biz Directory,https://www.keramogranit.ru,2026-08-16T20:52:46,COMPANY
Cerammax,Manual Trade Research | Supl.biz Directory,https://www.cerammax.ru,2026-08-16T20:52:46,COMPANY
Atlas Concorde Russia,Manual Trade Research | MosBuild Exhibitor List,https://atlasconcorde.ru,2026-08-16T20:52:46,COMPANY
Primavera,Manual Trade Research | MosBuild Exhibitor List,https://primavera-ceramica.ru,2026-08-16T20:52:46,COMPANY
Ceramica Classic,Manual Trade Research | MosBuild Exhibitor List,https://ceramicaclassic.ru,2026-08-16T20:52:46,COMPANY
Lira Ceramica,Manual Trade Research | MosBuild Exhibitor List,https://liraceramica.ru,2026-08-16T20:52:46,COMPANY
