company_name,website,company_type,product_category,business_email,business_phone,whatsapp,contact_person,designation,product_fit_score,import_activity_score,company_size_score,market_relevance_score,recent_activity_score,decision_maker_score,total_score,lead_bucket,buyer_probability,import_probability,product_relevance,company_size,market_relevance,recent_activity,decision_maker_status,qualification_status,qualification_error,reason,recommended_action,evidence
Керамир (Ceramir),https://ceramir.ru/,UNKNOWN,Porcelain & Ceramic Tiles,info@ceramir.ru,74952560646.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
эксклюзивный дистрибьютор KERAMA MARAZZI в РФ,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,UNKNOWN,Porcelain & Ceramic Tiles,info@interstone.su,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Global Tile,https://global-tile.ru/,UNKNOWN,Porcelain & Ceramic Tiles,info@global-tile.ru,74955878000.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Italon,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,UNKNOWN,Porcelain & Ceramic Tiles,NOT_FOUND,73814516606.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Керамогранит оптом и в розницу по низкой цене с ...,http://ceramogranit-optom.ru/?srsltid=AfmBOorGTBLbxdUscNx4YlwuUHfJej8VO_VZ3sZeB8_L7VP2S8AVoO9q,UNKNOWN,Porcelain & Ceramic Tiles,sale@ceramogranit-optom.ru,74955405010.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Керамогранит.ру (Keramogranit.ru),https://www.keramogranit.ru/,UNKNOWN,Porcelain & Ceramic Tiles,manager@keramogranit.ru,74959663880.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Керамическая плитка и керамогранит оптом для дилеров,https://artcentre.club/dileram/,UNKNOWN,Porcelain & Ceramic Tiles,office@artcentre.club,70281090300.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Керамическая плитка оптом в Москве,https://elmantrade.ru/kupit-optom/?srsltid=AfmBOooPBW6QlAGirOEISQcFkHAdyiA5Scy09bntxgaL9cWuswkIxXFF,UNKNOWN,Porcelain & Ceramic Tiles,office@elmantrade.ru,74951034848.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Керамогранит оптом - Керамическая плитка,https://opt.mosplitka.ru/,UNKNOWN,Porcelain & Ceramic Tiles,opt@mosplitka.ru,74951047080.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Арткерамика (Artkeramika),https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,UNKNOWN,Porcelain & Ceramic Tiles,zakaz@artkeramika-opt.ru,74997033042.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Best Tiles Manufacturer in Russia,https://www.durezagranito.com/tiles-manufacturer-exporter-in-Russia/,UNKNOWN,Porcelain & Ceramic Tiles,info@durezagranito.com,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Интернет-магазин керамогранита и керамической плитки в ...,https://msk.estima.ru/,UNKNOWN,Porcelain & Ceramic Tiles,salon-msk@estima.ru,74991106004.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
"Плитка, камень оптом — купить по цене производителя",https://volmatech.ru/catalog/plitka_kamen/,UNKNOWN,Porcelain & Ceramic Tiles,shop@volma.ru,78007000417.0,7.0,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Импорт керамической плитки в Российской Федерации,https://www.abok.ru/for_spec/articles.php?nid=1579,UNKNOWN,Porcelain & Ceramic Tiles,support@abok.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Керамогранит купить в Санкт-Петербурге по выгодной ...,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,UNKNOWN,Porcelain & Ceramic Tiles,stroikeramika@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Showrooms and dealers in Russia,https://www.marazzigroup.com/locality/russia-country/,UNKNOWN,Porcelain & Ceramic Tiles,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
"официальный дистрибьютор ГК ""Уральский Гранит""!",https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,UNKNOWN,Porcelain & Ceramic Tiles,opt@dvresurs.ru,79098754662.0,79098754662.0,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
Купить керамогранит в Москве и России. Оптом от ...,https://technotile.ru/,UNKNOWN,Porcelain & Ceramic Tiles,opt@technotile.ru,74993504450.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RETRY_REQUIRED,Unprocessed target lead,Pending qualification run.,Execute run_qualification script.,Unprocessed target lead
